"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C6","3","1u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C2","1","100u","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"C4","1","330u","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C5","1","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1","1","D_Schottky","","","","Diode_SMD:D_SMA","~"
"D2","1","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"F1","1","Fuse","","","","Fuse:Fuse_Littelfuse_372_D8.50mm","~"
"J1,J2","2","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"L1","1","1u","","","","Inductor_SMD:L_1008_2520Metric","~"
"L2","1","6.8u","","","","Inductor_SMD:L_7.3x7.3_H3.5","~"
"R1,R3","2","100k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2","1","23.7k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4","1","220","","","","Resistor_SMD:R_0402_1005Metric","~"
"RV1","1","Varistor","","","","Varistor:RV_Disc_D7mm_W3.4mm_P5mm","~"
"U1","1","LMR33630BDDA","","","","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias","http://www.ti.com/lit/ds/symlink/lmr33630.pdf"
