Designator,Mid X,Mid Y,Rotation,Layer
C1,202.0,-88.0,0.0,top
C2,212.75,-64.5,0.0,top
C3,185.5,-76.975,90.0,top
C4,196.0,-66.0,0.0,top
C5,213.6,-70.5,90.0,top
C6,209.5,-76.0,0.0,top
D1,205.5,-79.0,0.0,top
D2,191.0,-72.0,90.0,top
F1,214.5,-84.5,180.0,top
J1,225.5325,-75.25,270.0,top
J2,179.5,-75.0,90.0,top
L1,199.0,-78.5,270.0,top
L2,191.2,-80.0,180.0,top
R1,202.0,-82.0,0.0,top
R2,209.9,-73.5,90.0,top
R3,206.0,-74.5,180.0,top
R4,192.0,-73.5,0.0,top
RV1,202.0,-84.5,0.0,top
U1,205.65,-70.95,0.0,top
